10
20 19
11 15 10
12 13 74
12 15 69
12 16 74
12 17 24
12 18 48
13 15 11
13 16 89
13 17 84
13 18 74
13 19 45
14 15 8
14 16 5
14 17 34
14 18 26
15 17 25
15 18 26
16 19 88
17 18 60
17 19 19
18 19 60
20 95
0 2 86
0 4 100
0 5 41
0 6 76
0 7 41
0 10 27
1 5 27
1 6 52
1 11 77
1 12 49
1 15 86
1 19 72
2 5 1
2 6 66
2 7 26
2 9 22
2 12 26
2 13 19
2 15 65
2 16 74
3 5 9
3 10 35
3 13 31
3 16 60
3 19 77
4 8 100
4 9 39
4 10 65
4 13 19
4 14 96
4 15 53
5 6 12
5 7 25
5 9 94
5 10 69
5 13 54
5 14 98
5 15 19
6 7 37
6 8 65
6 12 73
6 16 94
6 18 4
7 9 76
7 10 35
7 12 79
7 13 5
7 14 5
7 19 94
8 10 45
8 13 87
8 14 64
8 15 38
8 16 75
8 17 81
9 13 98
9 15 56
9 17 1
9 18 46
9 19 51
10 11 89
10 12 73
10 14 83
10 15 99
10 16 86
10 18 29
10 19 38
11 12 39
11 13 53
11 14 60
11 15 6
12 14 97
12 15 8
12 16 30
12 18 7
12 19 53
13 14 52
13 15 24
13 16 85
13 17 21
13 18 89
13 19 11
14 16 60
14 17 43
14 19 91
15 16 90
15 17 34
15 18 62
15 19 58
16 17 9
16 18 26
16 19 7
17 18 16
17 19 86
18 19 80
20 114
0 1 91
0 2 97
0 3 58
0 5 52
0 8 26
0 10 99
0 13 77
0 16 66
0 17 40
0 19 95
1 2 38
1 4 79
1 5 5
1 6 22
1 7 44
1 11 100
1 12 95
1 14 75
1 16 90
1 17 23
1 18 55
1 19 66
2 3 32
2 4 51
2 5 91
2 8 98
2 9 34
2 13 41
2 15 30
2 17 49
2 18 19
3 7 68
3 9 98
3 10 16
3 11 98
3 13 21
3 15 8
3 19 91
4 6 25
4 8 92
4 10 9
4 13 30
4 14 40
4 15 3
4 16 88
5 6 95
5 7 92
5 9 66
5 10 93
6 7 13
6 8 58
6 10 33
6 11 39
6 13 85
6 15 59
6 19 72
7 8 7
7 9 48
7 10 86
7 11 51
7 12 24
7 13 81
7 15 33
7 18 70
7 19 48
8 10 6
8 11 55
8 12 59
8 14 36
8 15 8
8 16 6
9 14 14
9 15 67
9 16 25
9 17 49
9 18 70
10 12 18
10 13 49
10 14 78
10 15 94
10 17 76
10 18 100
10 19 86
11 12 33
11 14 12
11 15 78
11 16 44
11 17 41
11 19 90
12 13 31
12 14 14
12 16 52
12 17 89
12 18 21
12 19 24
13 14 79
13 15 43
13 16 77
13 17 72
13 19 62
14 15 69
14 16 10
14 18 65
14 19 57
15 16 37
15 17 56
15 18 39
15 19 23
16 17 96
16 18 79
16 19 39
17 18 69
17 19 51
18 19 93
20 133
0 1 57
0 3 53
0 4 31
0 6 44
0 7 15
0 8 85
0 9 29
0 10 57
0 13 47
0 15 96
0 16 39
0 17 6
0 19 69
1 2 99
1 7 8
1 8 51
1 9 15
1 10 34
1 11 31
1 13 11
1 15 52
1 16 71
1 18 96
2 3 25
2 4 16
2 6 92
2 9 11
2 13 46
2 14 33
2 18 10
3 6 25
3 10 72
3 11 39
3 12 65
3 13 92
3 14 88
3 15 5
3 16 57
3 19 94
4 6 21
4 7 72
4 9 90
4 10 1
4 11 13
4 12 3
4 13 99
4 14 9
4 16 28
4 17 89
4 19 76
5 8 28
5 9 6
5 11 93
5 12 58
5 13 16
5 14 71
5 15 9
5 16 100
5 17 45
5 18 82
6 7 72
6 8 36
6 9 7
6 11 73
6 13 49
6 14 6
7 8 26
7 9 68
7 10 53
7 11 76
7 13 29
7 14 14
7 15 75
7 16 70
7 18 36
8 9 41
8 10 56
8 11 62
8 12 95
8 13 11
8 14 30
8 15 47
8 16 84
8 17 28
8 18 62
9 11 84
9 13 14
9 14 93
9 16 33
9 17 81
9 19 28
10 11 53
10 13 86
10 14 62
10 16 79
10 17 44
10 18 38
10 19 87
11 12 60
11 13 58
11 14 14
11 15 51
11 16 6
11 17 54
11 18 9
11 19 28
12 13 12
12 14 1
12 15 29
12 16 53
12 17 96
12 18 58
13 14 27
13 15 40
13 16 36
13 17 65
13 18 15
13 19 97
14 15 41
14 16 39
14 17 79
14 18 35
14 19 88
15 16 80
15 17 71
15 18 47
15 19 8
16 17 1
16 18 98
16 19 54
17 18 52
17 19 9
18 19 63
20 152
0 3 41
0 4 33
0 5 82
0 6 37
0 9 59
0 11 82
0 13 7
0 14 83
0 15 28
0 16 75
0 18 56
0 19 97
1 2 35
1 3 51
1 6 20
1 8 69
1 13 47
1 14 37
1 16 49
1 17 43
1 18 9
1 19 14
2 4 54
2 5 94
2 7 13
2 8 12
2 9 33
2 10 25
2 12 90
2 13 59
2 14 5
2 15 62
2 16 84
2 19 58
3 4 57
3 6 94
3 7 99
3 8 24
3 9 27
3 10 86
3 11 58
3 12 96
3 13 100
3 14 66
3 15 83
3 16 99
3 19 70
4 5 69
4 6 35
4 8 86
4 9 30
4 10 46
4 11 44
4 12 47
4 14 16
4 16 88
4 17 14
4 18 65
4 19 71
5 7 96
5 8 40
5 9 91
5 10 76
5 11 88
5 14 78
5 16 19
5 18 94
6 7 100
6 8 43
6 9 91
6 12 78
6 13 16
6 14 90
6 15 88
6 16 45
6 17 33
6 18 5
7 8 25
7 9 28
7 10 96
7 11 38
7 13 49
7 14 100
7 15 63
7 16 80
7 17 1
7 18 1
7 19 50
8 9 69
8 10 54
8 12 45
8 13 44
8 14 44
8 15 52
8 16 93
8 17 95
8 18 77
8 19 77
9 11 35
9 12 27
9 13 73
9 14 73
9 15 61
9 16 6
9 17 21
9 18 51
9 19 68
10 11 92
10 12 56
10 13 85
10 14 44
10 15 19
10 16 50
10 17 95
10 18 83
10 19 23
11 12 22
11 13 30
11 14 46
11 15 21
11 16 40
11 17 45
11 18 93
11 19 24
12 13 90
12 14 43
12 15 61
12 16 19
12 17 5
12 18 42
12 19 26
13 14 85
13 15 10
13 16 52
13 17 44
13 18 21
13 19 95
14 15 75
14 16 97
14 17 13
14 18 80
14 19 92
15 16 62
15 17 8
15 18 74
15 19 66
16 17 10
16 18 34
16 19 11
17 18 45
17 19 19
18 19 97
20 171
0 1 91
0 4 23
0 6 100
0 7 37
0 8 11
0 9 30
0 10 66
0 11 74
0 12 60
0 13 27
0 15 36
0 16 66
0 17 24
0 18 23
0 19 2
1 3 35
1 4 33
1 5 19
1 6 68
1 7 33
1 8 45
1 9 44
1 11 90
1 12 77
1 13 75
1 14 67
1 15 4
1 17 68
1 18 89
1 19 62
2 3 76
2 4 81
2 5 55
2 7 31
2 8 45
2 9 45
2 10 51
2 11 40
2 13 39
2 14 52
2 15 40
2 16 31
2 18 19
2 19 63
3 4 62
3 5 1
3 6 4
3 7 97
3 8 32
3 9 41
3 10 30
3 11 92
3 12 51
3 13 51
3 14 74
3 15 81
3 17 18
3 19 1
4 5 90
4 6 100
4 7 68
4 8 50
4 9 16
4 10 92
4 11 65
4 12 21
4 14 46
4 15 6
4 16 45
4 18 49
4 19 75
5 7 48
5 8 78
5 10 87
5 11 94
5 12 5
5 13 52
5 14 29
5 15 6
5 16 70
5 17 33
5 18 99
5 19 61
6 7 23
6 9 58
6 10 42
6 11 25
6 12 17
6 13 5
6 14 89
6 15 96
6 16 86
6 17 79
6 18 24
6 19 96
7 8 56
7 9 56
7 10 76
7 11 93
7 12 43
7 13 39
7 14 59
7 15 91
7 16 10
7 17 3
7 18 65
7 19 94
8 9 44
8 10 40
8 11 2
8 12 49
8 13 65
8 14 64
8 15 27
8 16 97
8 17 98
8 18 63
8 19 19
9 10 21
9 12 34
9 13 42
9 14 81
9 15 3
9 16 12
9 17 9
9 18 3
9 19 10
10 11 38
10 12 64
10 13 56
10 14 27
10 15 29
10 16 94
10 17 18
10 18 100
11 12 10
11 13 19
11 14 27
11 15 63
11 16 36
11 17 4
11 18 40
11 19 4
12 13 82
12 14 30
12 15 87
12 16 77
12 17 55
12 18 74
12 19 33
13 14 75
13 15 2
13 16 33
13 17 96
13 18 5
13 19 6
14 15 66
14 16 92
14 17 72
14 18 75
14 19 71
15 16 64
15 17 8
15 18 43
15 19 56
16 17 74
16 18 9
16 19 55
17 18 8
17 19 23
18 19 88
20 190
0 1 13
0 2 67
0 3 92
0 4 22
0 5 17
0 6 4
0 7 90
0 8 28
0 9 45
0 10 19
0 11 5
0 12 77
0 13 53
0 14 99
0 15 11
0 16 45
0 17 89
0 18 36
0 19 88
1 2 11
1 3 15
1 4 37
1 5 35
1 6 30
1 7 99
1 8 6
1 9 42
1 10 7
1 11 93
1 12 82
1 13 21
1 14 82
1 15 73
1 16 70
1 17 26
1 18 13
1 19 70
2 3 51
2 4 25
2 5 92
2 6 89
2 7 89
2 8 65
2 9 89
2 10 57
2 11 32
2 12 82
2 13 16
2 14 11
2 15 18
2 16 36
2 17 5
2 18 51
2 19 91
3 4 94
3 5 40
3 6 69
3 7 62
3 8 1
3 9 85
3 10 38
3 11 51
3 12 68
3 13 5
3 14 18
3 15 26
3 16 8
3 17 89
3 18 34
3 19 72
4 5 94
4 6 17
4 7 67
4 8 35
4 9 41
4 10 51
4 11 9
4 12 40
4 13 34
4 14 89
4 15 86
4 16 78
4 17 47
4 18 49
4 19 63
5 6 69
5 7 78
5 8 53
5 9 84
5 10 63
5 11 56
5 12 84
5 13 92
5 14 92
5 15 46
5 16 35
5 17 68
5 18 97
5 19 41
6 7 21
6 8 14
6 9 27
6 10 72
6 11 10
6 12 70
6 13 96
6 14 76
6 15 11
6 16 23
6 17 4
6 18 76
6 19 32
7 8 45
7 9 44
7 10 7
7 11 1
7 12 33
7 13 2
7 14 86
7 15 29
7 16 14
7 17 42
7 18 23
7 19 65
8 9 53
8 10 24
8 11 45
8 12 23
8 13 75
8 14 39
8 15 72
8 16 25
8 17 64
8 18 33
8 19 46
9 10 63
9 11 100
9 12 51
9 13 73
9 14 13
9 15 67
9 16 51
9 17 89
9 18 12
9 19 46
10 11 38
10 12 91
10 13 28
10 14 8
10 15 53
10 16 20
10 17 46
10 18 6
10 19 86
11 12 72
11 13 61
11 14 7
11 15 30
11 16 79
11 17 6
11 18 52
11 19 55
12 13 44
12 14 50
12 15 56
12 16 13
12 17 77
12 18 46
12 19 9
13 14 14
13 15 13
13 16 41
13 17 12
13 18 62
13 19 1
14 15 51
14 16 4
14 17 18
14 18 100
14 19 26
15 16 75
15 17 86
15 18 86
15 19 51
16 17 36
16 18 57
16 19 33
17 18 20
17 19 40
18 19 14
